route_id,event_id,start_month,end_month,route_active,weekly_frequency_proxy,carrier,evidence_type,confidence,source_title,source_url,evidence_note
YXX_YEG,YXX_YEG_2026_CURRENT_SUPPORT,2025-06-01,2025-12-01,1,19,Flair,current_schedule_support,medium,Direct flights from Vancouver to Edmonton,https://www.flightsfrom.com/YXX-YEG,Current 2026 schedule lists nonstop YXX to YEG with Flair; used only to support continuity through late 2025.
YXX_YVR,YXX_YVR_NEGATIVE_CONTROL,2020-01-01,2025-12-01,0,0,None,negative_control_assumption,medium,Direct flights from Vancouver Abbotsford,https://www.flightsfrom.com/YXX,FlightsFrom lists YXX as having 4 scheduled destinations and does not list YVR; this short local airport pair is kept as a negative control candidate.
YLW_YVR,YLW_YVR_ESTABLISHED,2020-01-01,2025-12-01,1,87,Air Canada|WestJet|Air North|Central Mountain Air,current_schedule_support,medium,Flights from Kelowna to Vancouver,https://www.flightconnections.com/flights-from-ylw-to-yvr,Current schedule lists high-frequency nonstop YLW to YVR service with multiple airlines; treated as an established regional benchmark through MVP period.
YLW_YYC,YLW_YYC_2022_FLAIR,2022-07-01,2025-12-01,1,5,Flair|WestJet|Air Canada,schedule_archive,medium,Flair Airlines Summer 2022 Network Update,https://www.aeroroutes.com/eng/220407-f8ns22,AeroRoutes reports Calgary to Kelowna increasing to 5 weekly in summer 2022.
YLW_YYC,YLW_YYC_2026_CURRENT_SUPPORT,2025-06-01,2025-12-01,1,45,Air Canada|Flair|WestJet,current_schedule_support,medium,Flights from Kelowna to Calgary,https://www.flightconnections.com/flights-from-ylw-to-yyc,Current 2026 schedule lists nonstop YLW to YYC with multiple airlines; used only to support continuity through late 2025.
YLW_YEG,YLW_YEG_2024_SUMMER,2024-05-01,2025-12-01,1,7,WestJet|Flair,schedule_archive,medium,Flair Airlines NS24 Network Changes,https://www.aeroroutes.com/eng/240326-f8ns24,AeroRoutes reports Edmonton to Kelowna planned at 7 weekly in summer 2024.
YLW_YEG,YLW_YEG_2026_CURRENT_SUPPORT,2025-06-01,2025-12-01,1,52,WestJet|Flair,current_schedule_support,medium,Direct flights from Kelowna to Edmonton,https://www.directflights.com/YLW-YEG,Current 2026 schedule lists nonstop YLW to YEG with WestJet and Flair; used only to support continuity through late 2025.
YYZ_YVR,YYZ_YVR_BENCHMARK,2020-01-01,2025-12-01,1,,Multiple,benchmark_assumption,medium,Benchmark hub-to-hub route assumption,manual_assumption,Major Toronto to Vancouver hub route retained as structurally active benchmark; not a regional investment target.
YYZ_YYC,YYZ_YYC_BENCHMARK,2020-01-01,2025-12-01,1,,Multiple,benchmark_assumption,medium,Benchmark hub-to-hub route assumption,manual_assumption,Major Toronto to Calgary hub route retained as structurally active benchmark; not a regional investment target.
YVR_YYC,YVR_YYC_BENCHMARK,2020-01-01,2025-12-01,1,,Multiple,benchmark_assumption,medium,Benchmark hub-to-hub route assumption,manual_assumption,Major Vancouver to Calgary hub route retained as structurally active benchmark; not a regional investment target.
